genome_id,resistant_phenotype
"1773.34729","Susceptible"
"1733.10672","Susceptible"
"1773.41004","Susceptible"
"1773.15773","Susceptible"
"1773.20203","Susceptible"
"1773.41694","Susceptible"
"1773.21648","Susceptible"
"1733.1515","Resistant"
"1733.1498","Susceptible"
"1773.40956","Resistant"
"1773.4002","Susceptible"
"1773.15906","Resistant"
"1733.4835","Resistant"
"1773.18804","Susceptible"
"1733.3961","Susceptible"
"1733.4330","Susceptible"
"1773.35577","Susceptible"
"1773.5623","Susceptible"
"1733.1386","Resistant"
"1733.9524","Susceptible"
"1773.19897","Susceptible"
"1773.37194","Susceptible"
"1733.2872","Resistant"
"1773.39705","Susceptible"
"1733.10684","Susceptible"
"1773.42793","Susceptible"
"1773.35099","Susceptible"
"1773.15507","Resistant"
"1773.21602","Susceptible"
"1773.10690","Resistant"
"1773.3682","Susceptible"
"1773.27633","Susceptible"
"1733.8873","Resistant"
"1773.43699","Resistant"
"1733.10757","Susceptible"
"1773.20149","Susceptible"
"1773.18660","Resistant"
"1733.7230","Resistant"
"1448645.3","Susceptible"
"1773.15976","Susceptible"
"1773.27762","Susceptible"
"1733.8048","Susceptible"
"1733.3478","Susceptible"
"1733.5140","Susceptible"
"1773.18257","Resistant"
"1773.18287","Resistant"
"1773.1289","Susceptible"
"1773.41746","Resistant"
"1773.15569","Susceptible"
"1773.41584","Resistant"
"1773.20492","Resistant"
"1733.3786","Susceptible"
"1438834.3","Resistant"
"1773.28400","Susceptible"
"1773.15074","Susceptible"
"1733.8374","Susceptible"
"1773.31715","Resistant"
"1773.26999","Resistant"
"1733.10694","Susceptible"
"1773.20006","Susceptible"
"1773.41968","Susceptible"
"1733.9817","Susceptible"
"1773.19132","Susceptible"
"1733.4087","Susceptible"
"1447524.3","Resistant"
"1733.6108","Susceptible"
"1733.1220","Resistant"
"1773.42494","Resistant"
"1773.1100","Resistant"
"1773.19823","Susceptible"
"1773.42351","Resistant"
"1773.17381","Susceptible"
"1733.6228","Susceptible"
"1773.19101","Susceptible"
"1733.594","Resistant"
"1733.7545","Resistant"
